name,school_name,local_path
Backer Abu-Jaradeh,USC,Backer Abu-Jaradeh.png
Kyle Ackerman,USC,Kyle Ackerman.jpg
Victor Adamchik,USC,Victor Adamchik.jpg
Olaoluwa Adigun,USC,Olaoluwa Adigun.png
Leonard M Adleman,USC,Leonard M Adleman.jpg
Virgil Adumitroaie,USC,Virgil Adumitroaie.jpg
Navneet Agrawal,USC,Navneet Agrawal.jpg
David B. Agus,USC,David B. Agus.jpg
Keenan Albee,USC,Keenan Albee.jpg
Julie Albright,USC,Julie Albright.jpg
Kristof Aldenderfer,USC,Kristof Aldenderfer.jpg
Patrick Alexander,USC,Patrick Alexander.jpg
Allen Almasi,USC,Allen Almasi.png
Oscar Salvador Alvarez-Salazar,USC,Oscar Salvador Alvarez-Salazar.jpg
Jose-Luis Ambite,USC,Jose-Luis Ambite.jpg
